id,display_name,category,category_name,tags,suggested_rarity,master_64,export_128,export_256,silhouette_64
arming_sword,Arming Sword,blades,Blades,blades|arming|sword,,sprites/64x64/blades/arming_sword.png,exports/128x128/blades/arming_sword.png,exports/256x256/blades/arming_sword.png,variants/silhouettes/64x64/blades/arming_sword_silhouette.png
broken_sword,Broken Sword,blades,Blades,blades|broken|sword,,sprites/64x64/blades/broken_sword.png,exports/128x128/blades/broken_sword.png,exports/256x256/blades/broken_sword.png,variants/silhouettes/64x64/blades/broken_sword_silhouette.png
ceremonial_sword,Ceremonial Sword,blades,Blades,blades|ceremonial|sword,,sprites/64x64/blades/ceremonial_sword.png,exports/128x128/blades/ceremonial_sword.png,exports/256x256/blades/ceremonial_sword.png,variants/silhouettes/64x64/blades/ceremonial_sword_silhouette.png
cleaver_sword,Cleaver Sword,blades,Blades,blades|cleaver|sword,,sprites/64x64/blades/cleaver_sword.png,exports/128x128/blades/cleaver_sword.png,exports/256x256/blades/cleaver_sword.png,variants/silhouettes/64x64/blades/cleaver_sword_silhouette.png
curved_dagger,Curved Dagger,blades,Blades,blades|curved|dagger,,sprites/64x64/blades/curved_dagger.png,exports/128x128/blades/curved_dagger.png,exports/256x256/blades/curved_dagger.png,variants/silhouettes/64x64/blades/curved_dagger_silhouette.png
falchion,Falchion,blades,Blades,blades|falchion,,sprites/64x64/blades/falchion.png,exports/128x128/blades/falchion.png,exports/256x256/blades/falchion.png,variants/silhouettes/64x64/blades/falchion_silhouette.png
greatsword,Greatsword,blades,Blades,blades|greatsword,,sprites/64x64/blades/greatsword.png,exports/128x128/blades/greatsword.png,exports/256x256/blades/greatsword.png,variants/silhouettes/64x64/blades/greatsword_silhouette.png
iron_dagger,Iron Dagger,blades,Blades,blades|iron|dagger,,sprites/64x64/blades/iron_dagger.png,exports/128x128/blades/iron_dagger.png,exports/256x256/blades/iron_dagger.png,variants/silhouettes/64x64/blades/iron_dagger_silhouette.png
longsword,Longsword,blades,Blades,blades|longsword,,sprites/64x64/blades/longsword.png,exports/128x128/blades/longsword.png,exports/256x256/blades/longsword.png,variants/silhouettes/64x64/blades/longsword_silhouette.png
rapier,Rapier,blades,Blades,blades|rapier,,sprites/64x64/blades/rapier.png,exports/128x128/blades/rapier.png,exports/256x256/blades/rapier.png,variants/silhouettes/64x64/blades/rapier_silhouette.png
